”rg„o,Gest„o,Unidade Gestora,Fonte de Recursos,Receita,Previsto do Ano,
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,13119901 - OUTRAS RECEITAS DE ALUGUEIS DO ESTADO,"             936.300,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,13120101 - OUTROS ARRENDAMENTOS DO ESTADO,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,13250101 - FUNDO DE INVESTIMENTO FINANCEIRO - FIF - TES,"           5.035.500,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,13909901 - OUTRAS RECEITAS PATRIMONIAIS,"             844.600,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,16001301 - SERVICOS DE INSCRICAO EM CONCURSOS PUBLICOS,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,16009901 - OUTROS SERVICOS DO ESTADO,"                 720,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,17219902 - DEMAIS TRANSFERENCIAS DA UNIAO,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,17229901 - DOACOES DOS ESTADOS,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,17239901 - DOACOES DOS MUNICIPIOS,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,17300101 - DOACOES DE INSTITUICOES DIVERSAS AO ESTADO,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,17400101 - DOACOES DO EXTERIOR,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,17500101 - DOACOES DE PESSOAS FISICAS,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,19195001 - MULTAS POR INFRACAO DO REG.-DIV.DEP.DO ESTAD,"              51.600,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,19229902 - DEMAIS RESTITUICOES DO ESTADO,"             540.000,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,19909901 - OUTRAS RECEITAS NAO DISCRIMINADAS DO ESTADO,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,22190102 - VENDA MAT.INSERV.P/DIV.DEP.EST.-FED ALESP,"                  10,00",
01000 - ASSEMBLEIA LEGISLATIVA,00001 - GOVERNO DO ESTADO DE SAO PAULO,010030 - FED-ASSEMBLEIA LEGISLATIVA EST.SP.,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,25900101 - OUTRAS RECEITAS DE CAPITAL DO ESTADO,"                  10,00",
02000 - TRIBUNAL DE CONTAS DO ESTADO,00001 - GOVERNO DO ESTADO DE SAO PAULO,020030 - FED-FUNDO ESPEC.DESPESA DO TRIBUNAL DE CONTA,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,13250101 - FUNDO DE INVESTIMENTO FINANCEIRO - FIF - TES,"           1.737.860,00",
02000 - TRIBUNAL DE CONTAS DO ESTADO,00001 - GOVERNO DO ESTADO DE SAO PAULO,020030 - FED-FUNDO ESPEC.DESPESA DO TRIBUNAL DE CONTA,003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,13909901 - OUTRAS RECEITAS PATRIMONIAIS,"                  10,00",
